Gemeinde,Region
Aadorf,2
Aarau,2
Aarberg,2
Aarburg,2
Aarwangen,3
Abtwil,3
Aclens,2
Acquarossa,3
Adelboden,2
Adligenswil,2
Adlikon,3
Adliswil,2
Aedermannsdorf,3
Aefligen,2
Aegerten,2
Aesch (BL),2
Aesch (LU),3
Aesch (ZH),3
Aeschi (SO),3
Aeschi bei Spiez,3
Aeugst am Albis,3
Affeltrangen,3
Affoltern am Albis,2
Affoltern im Emmental,3
Agarn,3
Agiez,3
Agno,2
Aigle,2
Aire-la-Ville,2
Airolo,3
Alberswil,3
Albinen,3
Albula/Alvra,3
Alchenstorf,3
Allaman,2
Alle,3
Allmendingen,3
Allschwil,2
Alpnach,3
Alpthal,3
Altbüron,3
Altdorf (UR),2
Altendorf,2
Alterswil,3
Altikon,3
Altishofen,2
Altnau,3
Alto Malcantone,3
Altstätten,2
Altwis,3
Amden,3
Amlikon-Bissegg,3
Ammerswil,3
Amriswil,2
Amsoldingen,3
Andeer,3
Andelfingen,2
Andermatt,3
Andwil (SG),2
Anières,2
Anniviers,3
Anwil,3
Appenzell,2
Apples,3
Aranno,3
Arbaz,2
Arbedo-Castione,2
Arboldswil,3
Arbon,2
Arch,2
Arconciel,2
Ardon,2
Arisdorf,2
Aristau,3
Arlesheim,2
Arnex-sur-Nyon,3
Arnex-sur-Orbe,3
Arni (AG),2
Arni (BE),3
Arogno,3
Arosa,2
Arth,2
Arzier-Le Muids,2
Ascona,2
Assens,3
Astano,3
Attalens,2
Attinghausen,2
Attiswil,3
Au (SG),2
Aubonne,2
Auboranges,3
Auenstein,2
Augst,2
Ausserberg,3
Auswil,3
Autigny,3
Auw,3
Avegno Gordevio,3
Avenches,3
Avers,3
Avry,2
Avully,3
Avusy,3
Ayent,2
Baar,2
Bachenbülach,2
Bachs,3
Bad Ragaz,2
Bad Zurzach,2
Baden,2
Bagnes,2
Baldingen,3
Balerna,2
Balgach,2
Ballaigues,3
Ballens,3
Ballwil,2
Balm bei Günsberg,3
Balsthal,3
Baltschieder,2
